wall_time,elapsed_or_ros_time,leg,leg_name,score,threshold,streak,scores
1782109089.674,0.005,RL,back_left,38.811,35.073,3,FL:32.304;FR:28.948;RL:38.811;RR:29.327
1782109090.334,3.504,FL,front_left,32.783,32.600,3,FL:32.783;FR:28.988;RL:31.987;RR:25.106
1782109094.821,24.317,FR,front_right,45.324,45.223,3,FL:1.631;FR:45.324;RL:24.489;RR:0.717
1782109144.544,0.011,RL,back_left,38.074,35.073,3,FL:25.003;FR:29.205;RL:38.074;RR:26.730
1782109146.168,8.110,FL,front_left,33.064,32.600,3,FL:33.064;FR:6.019;RL:16.886;RR:18.965
1782109147.491,14.023,FL,front_left,33.541,32.600,3,FL:33.541;FR:12.641;RL:3.262;RR:14.749
1782109183.008,0.005,RL,back_left,38.811,35.073,3,FL:32.304;FR:28.948;RL:38.811;RR:29.327
1782109183.673,3.504,FL,front_left,32.783,32.600,3,FL:32.783;FR:28.988;RL:31.987;RR:25.106
1782109188.190,24.317,FR,front_right,45.324,45.223,3,FL:1.631;FR:45.324;RL:24.489;RR:0.717
1782109219.673,0.011,RL,back_left,38.074,35.073,3,FL:25.003;FR:29.205;RL:38.074;RR:26.730
1782109221.333,8.110,FL,front_left,33.064,32.600,3,FL:33.064;FR:6.019;RL:16.886;RR:18.965
1782109222.663,14.023,FL,front_left,33.541,32.600,3,FL:33.541;FR:12.641;RL:3.262;RR:14.749
1782109271.001,0.019,RL,back_left,35.663,35.073,3,FL:29.746;FR:31.088;RL:35.663;RR:23.431
1782109272.004,5.208,FR,front_right,45.838,45.223,3,FL:2.434;FR:45.838;RL:31.312;RR:21.972
1782109272.079,5.585,FL,front_left,32.944,32.600,3,FL:32.944;FR:28.524;RL:6.122;RR:8.405
1782109272.290,6.643,FR,front_right,46.441,45.223,3,FL:1.545;FR:46.441;RL:7.064;RR:6.436
1782109272.625,8.141,FR,front_right,45.816,45.223,3,FL:0.538;FR:45.816;RL:20.128;RR:17.411
1782110530.253,5.139,FR,front_right,1.055,1.000,1,FL:0.000;FR:1.055;RL:0.000;RR:0.000
1782110530.294,6.547,FR,front_right,1.000,1.000,1,FL:0.000;FR:1.000;RL:0.000;RR:0.000
1782110530.342,8.069,FR,front_right,1.000,1.000,1,FL:0.000;FR:1.000;RL:0.000;RR:0.000
1782110644.629,8.157,FL,front_left,1.003,1.000,1,FL:1.003;FR:0.000;RL:0.000;RR:0.000
1782110644.811,14.085,FL,front_left,1.003,1.000,1,FL:1.003;FR:0.000;RL:0.000;RR:0.000
1782111003.673,7.431,RL,back_left,1.003,1.000,1,FL:0.000;FR:0.000;RL:1.003;RR:0.000
1782111003.709,8.873,RL,back_left,1.000,1.000,1,FL:0.000;FR:0.000;RL:1.000;RR:0.000
1782111003.736,9.937,FR,front_right,1.003,1.000,1,FL:0.000;FR:1.003;RL:0.017;RR:0.000
1782111003.836,14.079,FL,front_left,1.013,1.000,1,FL:1.013;FR:0.000;RL:0.000;RR:0.827
1782111022.115,5.139,RR,back_right,1.055,1.000,1,FL:0.000;FR:0.000;RL:0.000;RR:1.055
1782111022.152,6.719,RR,back_right,1.013,1.000,1,FL:0.000;FR:0.000;RL:0.000;RR:1.013
1782111022.185,8.011,RR,back_right,1.003,1.000,1,FL:0.000;FR:0.000;RL:0.000;RR:1.003
1782115884.580,5.139,RR,back_right,1.055,1.000,1,FL:0.000;FR:0.000;RL:0.000;RR:1.055
1782115884.617,6.719,RR,back_right,1.013,1.000,1,FL:0.000;FR:0.000;RL:0.000;RR:1.013
1782115884.649,8.011,RR,back_right,1.003,1.000,1,FL:0.000;FR:0.000;RL:0.000;RR:1.003
1782116020.241,7.431,RL,back_left,1.003,1.000,1,FL:0.000;FR:0.000;RL:1.003;RR:0.000
1782116020.276,8.873,RL,back_left,1.000,1.000,1,FL:0.000;FR:0.000;RL:1.000;RR:0.000
1782116020.301,9.937,FR,front_right,1.003,1.000,1,FL:0.000;FR:1.003;RL:0.017;RR:0.000
1782116020.400,14.079,FL,front_left,1.013,1.000,1,FL:1.013;FR:0.000;RL:0.000;RR:0.827
